prod_id,prod_name,brand,sku,prod_price,prod_category,pos_name,pos_stock,pos_price
1601,Sodapup Emat Tree of Life,SodaPup,810216026691,18.59,accessories,Sodapup Emat Tree of Life,0.0,17.84
1602,Sodapup Ebowl Great Outdoors,SodaPup,810216026493,25.09,accessories,Sodapup Ebowl Great Outdoors,0.0,24.14
1604,Sodapup Emat Flower Power,SodaPup,810216026073,17.49,accessories,Sodapup Emat Flower Power,0.0,16.79
1605,Sodapup Etray Mandala,SodaPup,810216026080,20.79,accessories,Sodapup Etray Mandala,0.0,19.94
1606,Sodapup Ebowl Honey Comb,SodaPup,810216026325,25.09,accessories,Sodapup Ebowl Honey Comb,0.0,24.14
1607,Sodapup Mini Honey Emat,SodaPup,810216025885,15.29,accessories,Sodapup Mini Honey Emat,0.0,14.69
1608,Sodapup Mini Surf Emat,SodaPup,810216026707,15.29,accessories,Sodapup Mini Surf Emat,0.0,14.69
1609,Sodapup Mini Groovy Love Emat,SodaPup,810216026714,15.29,accessories,Sodapup Mini Groovy Love Emat,0.0,14.69
1613,Small Food Scoop,Penn-Plax,030172105388,4.39,accessories,Small Food Scoop,-1.0,5.45
1614,Large Food Scoop,Penn-Plax,030172105395,5.49,accessories,Large Food Scoop,0.0,5.45
1617,Polkadot Bones Fashion Mat,Loving Pets,842982075689,10.89,accessories,Polkadot Bones Fashion Mat,0.0,10.49
1619,Small Tan Bone Place Mat,Penn-Plax,030172041815,11.99,accessories,Small Tan Bone Place Mat,0.0,11.54
1622,8oz Stainless Cat Dish Decorated,Van Ness,079441002584,5.49,accessories,8oz Stainless Cat Dish Decorat,0.0,5.45
1626,I Love Cats Fish,Penn-Plax,030172044045,8.79,accessories,I Love Cats Fish,0.0,8.73
1628,Dry Ears Bowl,Penn-Plax,076484884702,14.19,accessories,Dry Ears Bowl,0.0,13.64
1630,Travel Trainer,Penn-Plax,769397145045,22.89,accessories,Travel Trainer,0.0,22.04
1633,Mediterranean Stainless Steel Double 1 Pint,Ethical Pet,077234058497,30.59,accessories,Mediterranean Stainless Steel,0.0,29.39
1634,Mediterranean Steel Double Diner 1 Qt,Ethical Pet,077234058503,32.69,accessories,Mediterranean Steel Double Din,0.0,31.49
1636,Large Breed Dog Bottle,Lixit,076711006853,14.19,accessories,Large Breed Dog Bottle,0.0,13.64
1637,Faucet Waterer,Penn-Plax,076711008406,10.89,accessories,Faucet Waterer,0.0,10.49
1639,Petmate 3count Charcoal Water Filter,Petmate,029695248498,14.19,accessories,Petmate 3count Charcoal Water,0.0,13.64
1645,Funfeeder Notch Blue Medium,Outward Hound,700603678308,11.99,accessories,Funfeeder Notch Blue Medium,-1.0,11.54
1646,Small Kennel Cup,Penn-Plax,030172041723,10.89,accessories,Small Kennel Cup,0.0,10.49
1648,Snappyfit Stainlesssteel Bwl 20oz,MidWest Homes For Pets,027773008590,16.39,accessories,Snappyfit Stainlesssteel Bwl 2,0.0,15.74
1649,Ruff N Tuff Double Diner,Van Ness,842982072107,16.39,accessories,Ruff N Tuff Double Diner,0.0,15.74
1650,Petmate 7 Cup Bowl,Petmate,029695230806,5.49,accessories,Petmate 7 Cup Bowl,0.0,5.45
1654,Bellabowl Pink Medium,Bellabowl,842982071339,9.89,accessories,Retro Large Pink Bowl,0.0,15.74
1655,Bellabowl Pink Large,Bellabowl,842982074026,16.39,accessories,Bellabowl Pink Large,0.0,15.74
1662,Bellabowl Blue Medium,Bellabowl,842982074095,9.89,accessories,Bellabowl Blue Medium,0.0,9.44
1667,Vittles Vault Elevated Feeder 50 Lbs,Gamma2,029695435515,98.09,accessories,Vittles Vault Elevated Feeder,0.0,94.49
1668,Vittles Vault 30 Lbs Storage,Gamma2,769397142303,54.49,accessories,Vittles Vault 30 Lbs Storage,0.0,52.49
1674,Petmate 4gal Water Replenisher,Petmate,029695244988,57.79,accessories,Petmate 4gal Water Replenisher,0.0,55.64
1675,Petmate Replendish 2.5 Gal Water,Petmate,029695244780,54.49,accessories,Vari-Kennel-Kennel-Kennel-Kenn,0.0,157.49
1677,Zeus H2eau Fountain Dog,Zeus,022517914007,47.99,accessories,Zeus H2eau Fountain Dog,-1.0,46.19
1678,Ferplast .16 Us Gal Food/Water,Ferplast,798549092883,21.79,accessories,Ferplast .16 Us Gal Food/Water,0.0,20.99
1679,Replendish0.5g.wtrw/Microban,Petmate,029695245404,21.79,accessories,Replendish0.5g.wtrw/Microban,0.0,20.99
1680,Replendish0.5gwtrw/Micro Grey,Petmate,029695244865,21.79,accessories,Replendish0.5gwtrw/Micro Grey,0.0,20.99
1682,Petmate Cafe Watr .25g,Petmate,29695244360,13.09,accessories,Petmate Cafe Watr .25g,0.0,12.59
1683,Skidstop Medium,JW Pet,18940632405,13.09,accessories,Skidstop Medium,0.0,12.59
1686,Skidstop Heavyweight Medium,JW Pet,618940632405,7.69,accessories,Skidstop Heavyweight Medium,0.0,7.63
1688,Pet Mate Double Cup Large,Pet Mate,029695231759,5.49,accessories,Pet Mate Double Cup Large,0.0,5.45
1689,Petmate Double Cup Small,Petmate,029695231742,3.29,accessories,Petmate Kennel Cup Double,0.0,9.44
1690,Heavy Weight 11.5oz Bowl,Penn-Plax,030172071980,5.49,accessories,Catlife Jungle Slope Activity,0.0,60.89
1691,Vanness 16oz Double,Van Ness,079441002119,3.29,accessories,Vanness 16oz Double,-1.0,3.27
1695,Crisscross Steel Non Skid Dish,Loving Pets,077234585962,4.39,accessories,Crisscross Steel Non Skid Dish,0.0,4.36
1696,"Portofino Dish Dog Blushpink 5""",Loving Pets,77234586280,8.79,accessories,Portofino Dish Dog Blushpink 5,0.0,8.73
1702,Replendish 1g.wtrw/Microban,Replendish,029695244940,32.69,accessories,Replendish 1g.wtrw/Microban,0.0,31.49
1703,Replendish 1gwtrwmicro Grey,Replendish,029695244926,32.69,accessories,Replendish 1gwtrwmicro Grey,0.0,31.49
1705,Replendish2lbfdrw/Micrban,Petmate,029695245398,21.79,accessories,Replendish2lbfdrw/Micrban,0.0,20.99
1711,Vanilla Ness Single 16oz,Van Ness,079441002362,3.29,accessories,Vanilla Ness Single 16oz,0.0,3.27
1713,Retro Small Blue Bowl,Retro,842982071353,7.69,accessories,Retro Bowl,0.0,7.63
1715,Retro Large Blue Bowl,Retro,842982071377,16.39,accessories,Retro Large Blue Bowl,0.0,15.74
1722,Retro Large Pink Bowl,Retro,842982071339,16.39,accessories,Retro Large Pink Bowl,0.0,15.74
1725,Small Blue Double Diner Trvl,Penn-Plax,030172041808,14.19,accessories,Small Blue Double Diner Trvl,0.0,13.64
1726,Petmate Travel Bowl Duo,Petmate,029695235924,25.09,accessories,Petmate Travel Bowl Duo,0.0,24.14
1727,Medium Blue Solo Bowl Tvrl,Lixit,842982079861,11.99,accessories,Medium Blue Solo Bowl Tvrl,0.0,11.54
1728,Catit Fountain Filter Mini 3pck,Catit,022517440056,7.69,accessories,Catit Fountain Filter Mini 3pc,0.0,7.63
1730,Petmate Kennel Cup Double,Petmate,029695231742,9.89,accessories,Petmate Kennel Cup Double,0.0,9.44
1735,Titan Spiral Stake & Tie Out Combo,Titan,076484890130,25.09,accessories,Titan Spiral Stake & Tie Out C,0.0,24.14
1736,"Fourpaws Walk About 19"" Sprlstake",Four Paws,045663950002,14.19,accessories,"Fourpaws Walk About 19"" Sprlst",0.0,13.64
1738,Four Paws Walk-About Dog Tie Out Stake,Four Paws,045663905002,34.89,accessories,Fourpaws Walkabout Giant Stake,0.0,33.59
1740,"Prevue Hendrix Tieout Spiralstake 24""",Prevue,048081021125,8.79,accessories,Prevue Hendrix Tieout Spiralst,-1.0,11.54
1746,Petcrest Tie Out Cable Small 10ft,PetCrest,026716915100,10.89,accessories,Petcrest Tie Out Cable Small 1,0.0,10.49
1747,Four Paws Heavy Weight Dog Tie Out Cable Silver 15ft,Four Paws,045663847159,19.69,accessories,Fourpaws Tieoutcable15fthvywgh,0.0,18.89
1749,Fourpaws Tieoutcabble20ft Super,Four Paws,045663848200,34.89,accessories,Fourpaws Tieoutcabble20ft Supe,0.0,33.59
1751,Titan Tieout 30' Medium,Titan,076484890628,22.89,accessories,Titan Tieout 30' Heavy,0.0,26.24
1753,Titan Tieout 20' Heavy,Titan,076484890611,27.29,accessories,Titan Tieout 20' Heavy,0.0,26.24
1754,Titan Tieout 30' Heavy,Titan,076484890628,27.29,accessories,Titan Tieout 30' Heavy,0.0,26.24
1755,Titan Tieout 30' Giant,Titan,076484512117,46.89,accessories,Titan Tieout 30' Giant,0.0,45.14
1756,Titan Tieout 10'giant,Titan,076484512087,29.49,accessories,Titan Tieout 10'giant,-1.0,28.34
1757,Titan Tieout 15' Giant,Titan,076484512094,31.69,accessories,Titan Tieout 15' Giant,-1.0,30.44
1758,Titan Tieout 20' Giant,Titan,076484512100,46.89,accessories,Titan Tieout 20' Giant,0.0,45.14
1763,Prevue Hendrix Tieout Chain 15' Heavy Duty,Prevue,048081021163,17.49,accessories,Prevue Hendrix Tieout Chain 15,0.0,18.89
1774,Four Paws Medium Weight Dog Tie Out Cable Red 20ft,Four Paws,045663856205,20.79,accessories,Fourpaws Medium 20' Tie Out Ca,0.0,19.94
1779,Zippy Paws Medium Life Jacket,ZippyPaws,818786014995,39.29,accessories,Zippy Paws Medium Life Jacket,0.0,37.79
1782,Happyride Booster Seat Upto 18,Kurgo,891293000613,50.19,accessories,Happyride Booster Seat Upto 18,0.0,48.29
1785,Kong Ez Cone Collar Medium,Kong,035585505572,17.49,accessories,Kong Rope Rally Bone Medium,0.0,13.64
1787,Kong Ez Cone Collar X-Large,Kong,035585360751,22.89,accessories,Kong Ez Cone Collar X-Large,0.0,22.04
1797,Kong Cloud Large,Kong,035585081366,35.99,accessories,Kong Cloud Large,0.0,34.64
1799,Thunder Shirt Sport Extra Small,Thunder Shirt,819505013213,43.59,accessories,Thunder Shirt Sport Extra Smal,0.0,41.99
1804,Carelift Rear Support Harness L,PetSafe,891293000828,50.19,accessories,Carelift Rear Support Harness,-1.0,48.29
1805,Thunder Shirt Sport L,Thunder Shirt,819505013237,58.89,accessories,Thunder Shirt Sport L,0.0,56.69
1817,Spot in the Bag Waste Bags,Spot,077234984062,9.89,accessories,Spot in the Bag Waste Bags,0.0,9.44
1819,Petcrest Poop Bags,PetCrest,784099025655,3.29,accessories,Petcrest Poop Bags,0.0,3.27
1832,Petmate Clean Resonse Rake & Pan,Petmate,029695711077,32.69,accessories,Petmate Clean Resonse Rake & P,-1.0,31.49
1848,Weewee Silicone Pad Holder,Wee-Wee,045663970000,50.19,accessories,Weewee Silicone Pad Holder,0.0,48.29
1850,Weewee Patch Replace Grass Small,Wee-Wee,045663158521,32.69,accessories,Weewee Patch Replace Grass Sma,0.0,31.49
1867,Weewee Instarise Border 50pk,Wee-Wee,045663974855,65.39,accessories,Weewee Instarise Border 50pk,0.0,62.99
1869,Weewee Instarise Border 10pk,Wee-Wee,045663974848,15.29,accessories,Weewee Instarise Border 10pk,0.0,14.69
1876,Drytech 100 Pack Pads,Penn-Plax,030172041150,55.59,accessories,Drytech 100 Pack Pads,0.0,53.54
1932,"Mypet Universal Pet Gate 26""x26""",North States,026107086259,63.29,accessories,"Mypet Universal Pet Gate 26""x2",0.0,60.89
1935,Midwest Petgate Steel Pet Gate,MidWest Homes For Pets,027773022893,141.69,accessories,Midwest Petgate Steel Pet Gate,0.0,136.49
1952,Catit Catnip Roll on,Catit,022517447574,7.69,accessories,Catit Catnip Roll on,0.0,7.63
2137,Meowee Savory Spoonables 3 Flavor,Meowee,615650000036,4.39,accessories,Meowee Savory Spoonables 3 Fla,0.0,4.36
2220,Catit Creamy Stuff Toy,Catit,022517429617,4.39,accessories,Catit Creamy Stuff Toy,0.0,4.36
2271,Meowijuana Jumpnjamb Toy,SmarterPaw,714929802064,14.19,accessories,Meowijuana Jumpnjamb Toy,0.0,13.64
2278,Catit Groovy Fish,Catit,022517430217,21.79,accessories,Catit Groovy Fish,0.0,20.99
2279,Turbo Replacement Pads 2pk,Turbo,879213001056,14.19,accessories,Turbo Replacement Pads 2pk,0.0,13.64
2282,Catlife Jungle Slope Activity Cen,Penn-Plax,030172071980,63.29,accessories,Catlife Jungle Slope Activity,0.0,60.89
2285,Prevue Scartching Post Grey,Prevue,048081071519,27.29,accessories,Prevue Scartching Post Grey,0.0,26.24
2291,Catlife Purple Activiy & Scratch,Penn-Plax,030172067327,37.09,accessories,Catlife Purple Activiy & Scrat,-1.0,35.69
2296,5lbs Pet Food Container,Gamma2,079441009019,21.79,accessories,5lbs Pet Food Container,0.0,20.99
2298,25 Lbs Pet Food Container,Gamma2,079441009033,42.59,accessories,25 Lbs Pet Food Container,0.0,40.94
2299,50lbs Pet Food Container,Gamma2,079441009040,62.19,accessories,50lbs Pet Food Container,0.0,59.84
2301,24oz Stainless Bowl,Van Ness,079441002324,8.79,accessories,24oz Stainless Bowl,0.0,8.73
2302,1qt Mirror Finish Ss Dish,Ethical Pet,077234060629,4.39,accessories,2qt Mirror Finish Ss Dish,0.0,7.63
2303,2qt Mirror Finish Ss Dish,Ethical Pet,077234060629,7.69,accessories,2qt Mirror Finish Ss Dish,0.0,7.63
2304,Vanness Drawstring Cat Pan Liner,Van Ness,079441004106,7.69,accessories,Vanness Drawstring Cat Pan Lin,0.0,7.63
2305,Pureness Giant 8 Cat Pan Liners,Van Ness,079441004137,7.69,accessories,Pureness Giant 8 Cat Pan Liner,0.0,7.63
2306,Pureness Large 12 Cat Pan Liners,Van Ness,079441004120,7.69,accessories,Pureness Large 12 Cat Pan Line,0.0,7.63
2314,Naturesmiracle No More Spraying,Nylabone,018065057815,16.39,accessories,Naturesmiracle No More Sprayin,0.0,15.74
2318,Nature's Miracle Pet Block Spray,Nature's Miracle,018065983756,11.99,accessories,PetOdor Woofstock Spray,-1.0,11.54
2324,Petlinks Litter Mat,Petlinks,786306495077,28.39,accessories,Petlinks Litter Mat,0.0,27.29
2331,Petsafe Scoopfree Crystal Tray,PetSafe,729849142299,38.19,accessories,Petsafe Scoopfree Crystal Tray,0.0,41.99
2334,Pixi Flowfoun Filter 3x,Penn-Plax,030172437216,9.89,accessories,Pixi Flowfoun Filter 3x,0.0,9.44
2338,Petmate Cat Litter Scoop with Microban,Petmate,029695291128,4.39,accessories,Petmate Jumbo Litter Scoop,0.0,4.36
2340,Catit Style Litter Scoop,Catit,022517505793,4.39,accessories,Catit Style Litter Scoop,0.0,4.36
2345,Catit Magic Blue Replacement,Catit,022517443064,10.89,accessories,Catit Magic Blue Replacement,0.0,10.49
2348,Petmate Scoop & Stand,Petmate,29695265013,14.19,accessories,Petmate Scoop & Stand,0.0,13.64
2352,Litter Genie Refill 2pk,Litter Genie,666594208040,45.79,accessories,Litter Genie Refill 2pk,0.0,44.09
2356,Vanness Cat Starter Kit,Van Ness,79441004052,32.69,accessories,Vanness Cat Starter Kit,0.0,31.49
2367,Breederselect Cat Litter 20l,Breeder Celect,9315087390205,26.19,accessories,Breederselect Cat Litter 20l,0.0,25.19
2372,World's Best Cat Litter Multi 28lb,World's Best Cat Litter,322591006125,43.59,accessories,World's Best Cat Litter Multi,0.0,41.99
2373,Petsafe Crystal Litter 8lb,PetSafe,729849178656,30.59,accessories,Petsafe Crystal Litter 8lb,0.0,29.39
2374,Litterpearls Micro Crystals 3.5lb,Ultra Pet,633843106044,17.49,accessories,Litterpearls Micro Crystals 3.,-1.0,16.79
2378,Intersand Odorlock Lavender Cat Litter 13.2lb,Intersand,777979213068,18.59,accessories,Intersand Odorlock Lavender 13lb,0.0,17.84
2379,Intersand Odorlock Bbypdr 25lb,Intersand,777979210258,28.39,accessories,Intersand Odorlock Lavender 25,0.0,27.29
2380,Intersand Odorlock Calming Breeze 13lb,Intersand,777979214065,18.59,accessories,Intersand Odorlock Calming Bre,0.0,17.84
2383,Intersand Odorlock Baby Powder Cat Litter 25lb,Intersand,777979210258,28.39,accessories,Intersand Odorlock Lavender 25,0.0,27.29
2384,Arm & Hammer Cloud Control Litter,Arm & Hammer,033200001836,26.19,accessories,Arm & Hammer Cloud Control Lit,0.0,25.19
2386,Arm & Hammer Double Duty Litter,Arm & Hammer,033200022084,22.89,accessories,Arm & Hammer Double Duty Litte,0.0,22.04
2389,Tidycats Tidy Feet Litter,Purina,070230100412,28.39,accessories,Tidycats Tidy Feet Litter,0.0,27.29
2390,Dr. Elsey's Kitten Attract,Dr. Elsey's,000338007207,29.49,accessories,Dr. Elseys Cat Litter,0.0,28.34
2391,Dr. Elsey's Cat Attract Litter,Dr. Elsey's,000338007771,29.49,accessories,Dr. Elsey's Cat Attract Litter,0.0,29.39
2395,Naturally Fresh Clumping 14lb,Naturally Fresh,750244220022,27.29,accessories,Naturally Fresh Clumping 14lb,0.0,26.24
2396,Naturally Fresh Herbal Attraction 14lb,Naturally Fresh,050244220060,30.59,accessories,Naturally Fresh Herbal Attract,0.0,29.39
2398,Naturallyfresh Quick Clump 26lb,Naturally Fresh,750244230014,43.59,accessories,Naturallyfresh Quick Clump 26l,0.0,41.99
2399,Naturallyfresh Multicat 26lb,Naturally Fresh,750244230021,46.89,accessories,Naturallyfresh Multicat 26lb,0.0,45.14
2401,Catit Clean Catpanwhood,Catit,022517507032,38.19,accessories,Catit Clean Catpanwhood,0.0,36.74
2403,Catit Airsift Regular Litter Box,Catit,022517507025,37.09,accessories,Catit Airsift Regular Litter B,0.0,35.69
2404,Catit Airsift Jumbo Litter Box,Catit,022517506950,43.59,accessories,Catit Airsift Jumbo Litter Box,0.0,41.99
2410,Vanness High Sides Large Pan,Van Ness,079441004922,16.39,accessories,Vanness High Sides Large Pan,0.0,15.74
2411,Vanness Corner Cat Litter Pan,Van Ness,079441004687,18.59,accessories,Prevue Hendrix Corner Litter P,0.0,12.59
2747,Doggie Nip,Happy Pet,714929808233,5.49,accessories,Doggie Nip,0.0,5.45
2770,"Jolly Pet Flyer 7.5"" Blue",Jolly Pets,788169017526,11.99,accessories,"Jolly Pet Flyer 7.5"" Blue",0.0,11.54
2784,Spot Funfood Dogritos Chips,Spot,077234545898,10.89,accessories,Spot Funfood Dogritos Chips,0.0,10.49
2785,Spot Fun Food Ruffus,Spot,077234544440,8.79,accessories,Spot Fun Food Ruffus,0.0,8.73
2815,Lambchop Happy Birthday,Happy,784369487060,13.09,accessories,Lambchop Happy Birthday,0.0,12.59
2837,Dogslife Fleece Slipper,Dog Life,030172024726,5.49,accessories,Dogslife Fleece Slipper,0.0,7.63
4392,Sleep Sack,Prevue,048081990011,13.09,accessories,Sleep Sack,0.0,12.59
4877,PetOdor Candle Kibblez,Specialty Pet Products,734366063262,11.99,accessories,PetOdor Candle Kibblez,0.0,11.54
4888,PetOdor Woofstock Spray,Specialty Pet Products,018065983756,9.89,accessories,PetOdor Woofstock Spray,-1.0,11.54
4889,PetOdor Pawtopia,Specialty Pet Products,091197700644,9.89,accessories,Fluker's Crafted Cuisine Tortoise,0.0,10.49
4891,PetOdor Candle Lavender with Chamomile,Specialty Pet Products,734366020166,11.99,accessories,PetOdor Candle Lavender with C,0.0,11.54
4893,PetOdor Lollipets Spray 7oz,Specialty Pet Products,734366054475,9.89,accessories,PetOdor Lollipets Spray 7oz,-1.0,9.44
4894,PetOdor Furrytails Spray 7oz,Specialty Pet Products,734366054635,9.89,accessories,PetOdor Furrytails Spray 7oz,-1.0,9.44
4898,PetOdor Creamy Vanilla Car Freshener,Specialty Pet Products,734366023198,3.29,accessories,PetOdor Creamy Vanilla Car Fre,0.0,3.27
4901,PetOdor Hippie Love Wax,Specialty Pet Products,734366080542,6.59,accessories,PetOdor Hippie Love Wax,0.0,6.54
4903,PetOdor Cream Vanilla Wax,Specialty Pet Products,734366080511,6.59,accessories,PetOdor Cream Vanilla Wax,0.0,6.54
4904,PetOdor Pineapple Coconut Wax,Specialty Pet Products,097612180213,6.59,accessories,Zoo Med Naturalistic Flora,-1.0,8.73
4913,Pet House Sweet Cranberries Mini Candle,Pethouse,736902408834,4.39,accessories,Pet House Sweet Cranberries Mi,0.0,4.36
4914,Pet House Lilac Garden Candle,Pethouse,731236221555,25.09,accessories,Pet House Lilac Garden Candle,0.0,24.14
4915,Pet House Orange Spice Candle,Pethouse,745860395513,22.89,accessories,Pet House Orange Spice Candle,-1.0,22.04
4916,Pet House Autumn Harvest Candle,Pethouse,612520695248,25.09,accessories,Pet House Autumn Harvest Candl,0.0,24.14
4917,Pet House Silver Birch Candle,Pethouse,794969447425,25.09,accessories,Pet House Silver Birch Candle,0.0,24.14
4921,Pet House Fresh Citrus Candle,Pethouse,881314673148,25.09,accessories,Pet House Fresh Citrus Candle,0.0,24.14
4924,Pet House Bamboo Watermint Candle,Pethouse,029695244780,21.79,accessories,Vari-Kennel-Kennel-Kennel-Kenn,0.0,157.49
4946,Yummy Crumbs L 12oz,YummyCombs,064992513689,28.39,accessories,Yummy Crumbs L 12oz,0.0,27.29
5214,"Aqualife Plant Scapes 8""",Aqualife,030172005497,11.99,accessories,"Aqualife Plant Scapes 8""",0.0,11.54
5216,"Aqualife Plant Scapes 8""",Aqualife,018940313014,18.52,accessories,Aqualife Decoscapes Large,0.0,17.84
5219,"Aqualife Plant Scapes 14""",Aqualife,618940313090,18.59,accessories,"Aqualife Plant Scapes 14""",0.0,17.84
5223,"Aqualife Plant Scapes 8""",Aqualife,030172902826,11.99,accessories,"Aqualife Plant Scapes 8""",0.0,11.54
5230,Durvet Triple Wormer 2pk Chews Mdlg,Durvet,644472017144,25.09,accessories,A&E Seed Catcher Large,0.0,11.54
5231,Durvet Triple Wormer 2pk Chw Puppy,Durvet,048081008218,14.19,accessories,Durvet Triple Wormer 12pk Chw,0.0,45.14
5232,Durvet Triple Wormer 12pk Chw Puppy,Durvet,048081008218,46.89,accessories,Durvet Triple Wormer 12pk Chw,0.0,45.14
5233,Durvet Worm Ease Liquid 8oz,Durvet,096316700116,13.09,accessories,Zilla Shed-Ease Reptile Bath,0.0,9.44
